"Year","Month","Episode","ST","State","Region","Event","BeginDateTime","InjuriesDirect","InjuriesIndirect","DeathsDirect","DeathsIndirect","Lat","Long","Decade","TotalFatalities","TotalInjuries","TotalCasualties","COMUsed"
1952,4,NA,"TX","TEXAS","SouthWestSC","Tornado",1952-04-30 18:30:00,6,0,0,0,31.45,-100.47,"1950s",0,6,6,FALSE
1952,5,NA,"TX","TEXAS","SouthWestSC","Tornado",1952-05-23 11:40:00,1,0,0,0,32.22,-95.62,"1950s",0,1,1,FALSE
1952,5,NA,"TX","TEXAS","SouthWestSC","Tornado",1952-05-23 14:30:00,1,0,0,0,31.45,-100.48,"1950s",0,1,1,FALSE
1952,12,NA,"TX","TEXAS","SouthWestSC","Tornado",1952-12-03 18:15:00,4,0,0,0,30.9,-95.3,"1950s",0,4,4,FALSE
1952,4,NA,"TX","TEXAS","SouthWestSC","Tornado",1952-04-03 18:00:00,1,0,0,0,33.6,-96.7,"1950s",0,1,1,FALSE
1952,5,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1952-05-23 04:45:00,1,0,0,0,34.62,-98.42,"1950s",0,1,1,FALSE
1952,6,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1952-06-29 16:30:00,1,0,0,0,34.38,-99,"1950s",0,1,1,FALSE
1952,2,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1952-02-13 22:00:00,1,0,0,0,33.85,-88.47,"1950s",0,1,1,FALSE
1952,2,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1952-02-13 22:30:00,2,0,0,0,30.42,-89.48,"1950s",0,2,2,FALSE
1952,3,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1952-03-21 20:30:00,1,0,0,0,32.47,-90.12,"1950s",0,1,1,FALSE
1952,3,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1952-03-21 22:00:00,24,0,9,0,34.87,-89.68,"1950s",9,24,33,FALSE
1952,6,NA,"MN","MINNESOTA","MidwestWestNC","Tornado",1952-06-23 20:50:00,5,0,0,0,44.12,-95.08,"1950s",0,5,5,FALSE
1952,6,NA,"MN","MINNESOTA","MidwestWestNC","Tornado",1952-06-23 23:30:00,5,0,0,0,44.83,-93.5,"1950s",0,5,5,FALSE
